-17/10	1/10	0.
-8/5	1/10	0.
-3/2	1/10	0.
-7/5	1/10	0.
-13/10	1/10	0.
-6/5	1/10	0.
-11/10	1/10	0.
-1	1/10	0.
-9/10	1/10	0.
-4/5	1/10	0.
-7/10	1/10	0.
-3/5	1/10	0.
-1/2	1/10	0.
-2/5	1/10	0.
-3/10	1/10	0.
-1/5	1/10	0.
-1/10	1/10	0.
0	1/10	0.
1/10	1/10	0.
1/5	1/10	0.
3/10	1/10	0.
2/5	1/10	0.
1/2	1/10	0.
3/5	1/10	0.
7/10	1/10	0.
4/5	1/10	0.
9/10	1/10	0.
1	1/10	0.
11/10	1/10	0.
6/5	1/10	0.
13/10	1/10	0.
7/5	1/10	0.
3/2	1/10	0.
8/5	1/10	0.
17/10	1/10	0.
9/5	1/10	0.
19/10	1/10	0.
2	1/10	0.
21/10	1/10	0.
11/5	1/10	0.
23/10	1/10	0.
12/5	1/10	0.
5/2	1/10	0.
13/5	1/10	0.
27/10	1/10	0.
14/5	1/10	0.
29/10	1/10	0.
3	1/10	0.
31/10	1/10	0.
16/5	1/10	0.
33/10	1/10	0.
17/5	1/10	0.
7/2	1/10	0.
18/5	1/10	0.
37/10	1/10	0.
19/5	1/10	0.
39/10	1/10	0.
4	1/10	0.
41/10	1/10	0.
21/5	1/10	0.
43/10	1/10	0.
22/5	1/10	0.
9/2	1/10	0.
23/5	1/10	0.
47/10	1/10	0.
24/5	1/10	0.
49/10	1/10	0.
5	1/10	0.
51/10	1/10	0.
26/5	1/10	0.
53/10	1/10	0.
27/5	1/10	0.
11/2	1/10	0.
28/5	1/10	0.
57/10	1/10	0.
29/5	1/10	0.
59/10	1/10	0.
6	1/10	0.
61/10	1/10	0.
31/5	1/10	0.
63/10	1/10	0.
32/5	1/10	0.
13/2	1/10	0.
33/5	1/10	0.
67/10	1/10	0.
34/5	1/10	0.
69/10	1/10	0.
7	1/10	0.
71/10	1/10	0.
36/5	1/10	0.
73/10	1/10	0.
37/5	1/10	0.
15/2	1/10	0.
38/5	1/10	0.
77/10	1/10	0.
39/5	1/10	0.
79/10	1/10	0.
8	1/10	0.
81/10	1/10	0.
41/5	1/10	0.
83/10	1/10	0.
42/5	1/10	0.
17/2	1/10	0.
43/5	1/10	0.
87/10	1/10	0.
44/5	1/10	0.
89/10	1/10	0.
9	1/10	0.
91/10	1/10	0.
46/5	1/10	0.
93/10	1/10	0.
47/5	1/10	0.
19/2	1/10	0.
48/5	1/10	0.
97/10	1/10	0.
49/5	1/10	0.
99/10	1/10	0.
10	1/10	0.
101/10	1/10	0.
51/5	1/10	0.
103/10	1/10	0.
52/5	1/10	0.
21/2	1/10	0.
53/5	1/10	0.
107/10	1/10	0.
54/5	1/10	0.
109/10	1/10	0.
11	1/10	0.
111/10	1/10	0.
56/5	1/10	0.
113/10	1/10	0.
57/5	1/10	0.
23/2	1/10	0.
58/5	1/10	0.
117/10	1/10	0.
59/5	1/10	0.
119/10	1/10	0.
12	1/10	0.
121/10	1/10	0.
61/5	1/10	0.
123/10	1/10	0.
62/5	1/10	0.
25/2	1/10	0.
63/5	1/10	0.
127/10	1/10	0.
64/5	1/10	0.
129/10	1/10	0.
13	1/10	0.
131/10	1/10	0.
66/5	1/10	0.
133/10	1/10	0.
67/5	1/10	0.
27/2	1/10	0.
68/5	1/10	0.
137/10	1/10	0.
69/5	1/10	0.
139/10	1/10	0.
14	1/10	0.
-24	1/5	0.
-239/10	1/5	0.
-119/5	1/5	0.
-237/10	1/5	0.
-118/5	1/5	0.
-47/2	1/5	0.
-117/5	1/5	0.
-233/10	1/5	0.
-116/5	1/5	0.
-231/10	1/5	0.
-23	1/5	0.
-229/10	1/5	0.
-114/5	1/5	0.
-227/10	1/5	0.
